datetime,site_id,depth,observation,variable
2026-07-23 12:00:00,ORMS,0.0,11.863395883570849,Ws
2026-07-23 12:00:00,ORMS,0.0,8.01522646761769e-06,b_var
2026-07-23 12:00:00,ORMS,0.0,0.9779557345483274,eta
2026-07-23 12:00:00,ORMS,0.0,0.41863389145319985,m_ratio
2026-07-23 12:00:00,ORMS,0.0,0.00446232234582602,n2_max
2026-07-23 12:00:00,ORMS,0.0,0.0038566462068822457,n2_therm
2026-07-23 12:00:00,ORMS,0.0,0.00034711185957725377,z_fluc
2026-07-23 12:00:00,ORMS,0.0,2.430788563749709,z_n2
2026-07-23 12:00:00,ORMS,0.0,3.3000000000000003,z_therm
2026-07-23 12:00:00,ORMS,0.5,21.199183330493383,temperature
2026-07-23 12:00:00,ORMS,1.0,20.88099967368413,temperature
2026-07-23 12:00:00,ORMS,2.0,18.752055455878864,temperature
2026-07-23 12:00:00,ORMS,3.0,18.390353612806727,temperature
2026-07-23 12:00:00,ORMS,4.0,16.233202740162355,temperature
2026-07-24 12:00:00,ORMS,0.0,0.2917799401213733,M1
2026-07-24 12:00:00,ORMS,0.0,0.15751597156922484,M2
2026-07-24 12:00:00,ORMS,0.0,9.872919980890108,Ws
2026-07-24 12:00:00,ORMS,0.0,5.586260700368218e-06,b_var
2026-07-24 12:00:00,ORMS,0.0,0.9735800958663782,eta
2026-07-24 12:00:00,ORMS,0.0,0.5398451021125785,m_ratio
2026-07-24 12:00:00,ORMS,0.0,0.004268254909160494,n2_max
2026-07-24 12:00:00,ORMS,0.0,0.004094206330386256,n2_therm
2026-07-24 12:00:00,ORMS,0.0,0.00028885885807738987,z_fluc
2026-07-24 12:00:00,ORMS,0.0,2.6097660330444437,z_n2
2026-07-24 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-07-24 12:00:00,ORMS,0.5,20.555443416493762,temperature
2026-07-24 12:00:00,ORMS,1.0,20.325786025884756,temperature
2026-07-24 12:00:00,ORMS,2.0,18.74628200373537,temperature
2026-07-24 12:00:00,ORMS,3.0,18.492351267341796,temperature
2026-07-24 12:00:00,ORMS,4.0,16.177392702775244,temperature
2026-07-25 12:00:00,ORMS,0.0,0.23401482246298622,M1
2026-07-25 12:00:00,ORMS,0.0,0.1677362466142996,M2
2026-07-25 12:00:00,ORMS,0.0,7.933103650415738,Ws
2026-07-25 12:00:00,ORMS,0.0,3.790174155780988e-06,b_var
2026-07-25 12:00:00,ORMS,0.0,0.9479181024479816,eta
2026-07-25 12:00:00,ORMS,0.0,0.7167761633596103,m_ratio
2026-07-25 12:00:00,ORMS,0.0,0.004582094983855773,n2_max
2026-07-25 12:00:00,ORMS,0.0,0.004450237618695642,n2_therm
2026-07-25 12:00:00,ORMS,0.0,0.00023209371482479924,z_fluc
2026-07-25 12:00:00,ORMS,0.0,2.839840142681884,z_n2
2026-07-25 12:00:00,ORMS,0.0,3.3000000000000003,z_therm
2026-07-25 12:00:00,ORMS,0.5,19.91170350249414,temperature
2026-07-25 12:00:00,ORMS,1.0,19.770572378085383,temperature
2026-07-25 12:00:00,ORMS,2.0,18.740508551591876,temperature
2026-07-25 12:00:00,ORMS,3.0,18.59434892187686,temperature
2026-07-25 12:00:00,ORMS,4.0,16.121582665388132,temperature
2026-07-26 12:00:00,ORMS,0.0,0.17778099684819043,M1
2026-07-26 12:00:00,ORMS,0.0,0.1776210491008995,M2
2026-07-26 12:00:00,ORMS,0.0,6.044532482785718,Ws
2026-07-26 12:00:00,ORMS,0.0,2.583555427857904e-06,b_var
2026-07-26 12:00:00,ORMS,0.0,0.8721962142130968,eta
2026-07-26 12:00:00,ORMS,0.0,0.9991003102124153,m_ratio
2026-07-26 12:00:00,ORMS,0.0,0.0048988098934096376,n2_max
2026-07-26 12:00:00,ORMS,0.0,0.004292344117231532,n2_therm
2026-07-26 12:00:00,ORMS,0.0,0.00017683315080274653,z_fluc
2026-07-26 12:00:00,ORMS,0.0,3.1454789239098204,z_n2
2026-07-26 12:00:00,ORMS,0.0,3.9000000000000004,z_therm
2026-07-26 12:00:00,ORMS,0.5,19.267963588494524,temperature
2026-07-26 12:00:00,ORMS,1.0,19.215358730286013,temperature
2026-07-26 12:00:00,ORMS,2.0,18.734735099448383,temperature
2026-07-26 12:00:00,ORMS,3.0,18.69634657641193,temperature
2026-07-26 12:00:00,ORMS,4.0,16.06577262800102,temperature
2026-07-27 12:00:00,ORMS,0.0,0.14553361830345393,M1
